,iptg,median_yfp,filename,strain,backbone,plasmid
8,200,0.07,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
9,500,0.06,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
10,1000,0.06,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
11,2000,0.11,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
0,1,0.78,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
1,5,0.77,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
2,10,0.71,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
3,20,0.74,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
4,30,0.69,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
5,40,0.69,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
6,70,0.67,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
7,100,0.69,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
8,200,0.65,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
9,500,0.62,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
10,1000,0.59,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
11,2000,0.54,Interop_KT2440_pSeva221_Bm3R1_B2.csv,KT2440,pSeva221,Bm3R1_B2
0,1,42.6,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
1,5,27.0,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
2,10,19.9,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
3,20,10.3,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
4,30,6.2,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
5,40,3.7,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
6,70,0.6,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
7,100,0.5,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
8,200,0.3,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
9,500,0.2,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
10,1000,-0.1,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
11,2000,0.3,Interop_CC118Lpir_pSeva221_PhIF_P2.csv,CC118Lpir,pSeva221,PhIF_P2
0,1,17.04,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
1,5,11.5,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
2,10,7.18,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
3,20,4.28,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
4,30,3.09,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
5,40,1.8,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
6,70,1.35,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
7,100,1.23,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
8,200,0.79,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
9,500,0.69,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
10,1000,0.98,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
11,2000,1.2,Interop_CC118Lpir_pSeva231_AmeR_F1.csv,CC118Lpir,pSeva231,AmeR_F1
0,1,8.35,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
1,5,3.56,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
2,10,2.08,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
3,20,0.69,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
4,30,0.57,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
5,40,0.13,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
6,70,0.06,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
7,100,0.06,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
8,200,0.03,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
9,500,0.13,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
10,1000,0.03,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
11,2000,0.19,Interop_CC118Lpir_pSeva231_LcaRA_I1.csv,CC118Lpir,pSeva231,LcaRA_I1
0,1,0.09,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
1,5,0.08,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
2,10,0.08,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
3,20,0.07,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
4,30,0.07,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
5,40,0.07,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
6,70,0.06,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
7,100,0.06,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
8,200,0.05,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
9,500,0.03,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
10,1000,0.02,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
11,2000,0.01,Interop_KT2440_pSeva251_SrpR_S1.csv,KT2440,pSeva251,SrpR_S1
